Id,Type,Time,Level,Volts
1,moist,2015-06-09 22:25:01,464,1.5
2,moist,2015-06-09 22:25:01,650,2.1
1,moist,2015-06-09 22:35:01,437,1.41
2,moist,2015-06-09 22:35:01,689,2.22
1,moist,2015-06-09 22:45:01,427,1.38
2,moist,2015-06-09 22:45:01,706,2.28
1,moist,2015-06-09 22:55:01,424,1.37
2,moist,2015-06-09 22:55:01,711,2.29
1,moist,2015-06-09 23:05:01,417,1.35
2,moist,2015-06-09 23:05:01,706,2.28
1,moist,2015-06-09 23:15:01,419,1.35
2,moist,2015-06-09 23:15:01,700,2.26
1,moist,2015-06-09 23:25:01,416,1.34
2,moist,2015-06-09 23:25:01,697,2.25
1,moist,2015-06-09 23:35:01,418,1.35
2,moist,2015-06-09 23:35:01,692,2.23
1,moist,2015-06-09 23:45:01,429,1.38
2,moist,2015-06-09 23:45:01,693,2.24
1,moist,2015-06-09 23:55:01,421,1.36
2,moist,2015-06-09 23:55:01,687,2.22
1,moist,2015-06-10 00:05:01,421,1.36
2,moist,2015-06-10 00:05:01,686,2.21
1,moist,2015-06-10 00:15:01,418,1.35
2,moist,2015-06-10 00:15:01,683,2.2
1,moist,2015-06-10 00:25:01,416,1.34
2,moist,2015-06-10 00:25:01,680,2.19
1,moist,2015-06-10 00:35:01,418,1.35
2,moist,2015-06-10 00:35:01,677,2.18
1,moist,2015-06-10 00:45:01,416,1.34
2,moist,2015-06-10 00:45:01,672,2.17
1,moist,2015-06-10 00:55:01,409,1.32
2,moist,2015-06-10 00:55:01,672,2.17
1,moist,2015-06-10 01:05:01,408,1.32
2,moist,2015-06-10 01:05:01,671,2.16
1,moist,2015-06-10 01:15:01,405,1.31
2,moist,2015-06-10 01:15:01,672,2.17
1,moist,2015-06-10 01:25:01,406,1.31
2,moist,2015-06-10 01:25:01,667,2.15
1,moist,2015-06-10 01:35:01,402,1.3
2,moist,2015-06-10 01:35:01,668,2.15
1,moist,2015-06-10 01:45:01,403,1.3
2,moist,2015-06-10 01:45:01,662,2.14
1,moist,2015-06-10 01:55:01,399,1.29
2,moist,2015-06-10 01:55:01,663,2.14
1,moist,2015-06-10 02:05:01,398,1.28
2,moist,2015-06-10 02:05:01,658,2.12
1,moist,2015-06-10 02:15:01,392,1.26
2,moist,2015-06-10 02:15:01,662,2.14
1,moist,2015-06-10 02:25:01,392,1.26
2,moist,2015-06-10 02:25:01,661,2.13
1,moist,2015-06-10 02:35:01,395,1.27
2,moist,2015-06-10 02:35:01,670,2.16
1,moist,2015-06-10 02:45:01,390,1.26
2,moist,2015-06-10 02:45:01,665,2.15
1,moist,2015-06-10 02:55:01,378,1.22
2,moist,2015-06-10 02:55:01,661,2.13
1,moist,2015-06-10 03:05:01,384,1.24
2,moist,2015-06-10 03:05:02,660,2.13
1,moist,2015-06-10 03:15:01,382,1.23
2,moist,2015-06-10 03:15:02,658,2.12
1,moist,2015-06-10 03:25:01,381,1.23
2,moist,2015-06-10 03:25:02,656,2.12
1,moist,2015-06-10 03:35:02,381,1.23
2,moist,2015-06-10 03:35:02,649,2.09
1,moist,2015-06-10 03:45:02,378,1.22
2,moist,2015-06-10 03:45:02,651,2.1
1,moist,2015-06-10 03:55:02,382,1.23
2,moist,2015-06-10 03:55:02,653,2.11
1,moist,2015-06-10 04:05:02,379,1.22
2,moist,2015-06-10 04:05:02,650,2.1
1,moist,2015-06-10 04:15:02,377,1.22
2,moist,2015-06-10 04:15:02,652,2.1
1,moist,2015-06-10 04:25:02,375,1.21
2,moist,2015-06-10 04:25:02,649,2.09
1,moist,2015-06-10 04:35:02,373,1.2
2,moist,2015-06-10 04:35:02,648,2.09
1,moist,2015-06-10 04:45:02,372,1.2
2,moist,2015-06-10 04:45:02,644,2.08
1,moist,2015-06-10 04:55:02,370,1.19
2,moist,2015-06-10 04:55:02,647,2.09
1,moist,2015-06-10 05:05:02,369,1.19
2,moist,2015-06-10 05:05:02,643,2.07
1,moist,2015-06-10 05:15:02,363,1.17
2,moist,2015-06-10 05:15:02,647,2.09
1,moist,2015-06-10 05:25:02,359,1.16
2,moist,2015-06-10 05:25:02,651,2.1
1,moist,2015-06-10 05:35:02,359,1.16
2,moist,2015-06-10 05:35:02,651,2.1
1,moist,2015-06-10 05:45:02,359,1.16
2,moist,2015-06-10 05:45:02,650,2.1
1,moist,2015-06-10 05:55:02,356,1.15
2,moist,2015-06-10 05:55:02,649,2.09
1,moist,2015-06-10 06:05:02,358,1.15
2,moist,2015-06-10 06:05:02,650,2.1
1,moist,2015-06-10 06:15:02,357,1.15
2,moist,2015-06-10 06:15:02,643,2.07
1,moist,2015-06-10 06:25:02,354,1.14
2,moist,2015-06-10 06:25:02,646,2.08
1,moist,2015-06-10 06:35:02,356,1.15
2,moist,2015-06-10 06:35:02,643,2.07
1,moist,2015-06-10 06:45:02,354,1.14
2,moist,2015-06-10 06:45:02,640,2.06
1,moist,2015-06-10 06:55:02,354,1.14
2,moist,2015-06-10 06:55:02,640,2.06
1,moist,2015-06-10 07:05:02,354,1.14
2,moist,2015-06-10 07:05:02,638,2.06
1,moist,2015-06-10 07:15:02,353,1.14
2,moist,2015-06-10 07:15:02,635,2.05
1,moist,2015-06-10 07:25:02,351,1.13
2,moist,2015-06-10 07:25:02,635,2.05
1,moist,2015-06-10 07:35:02,350,1.13
2,moist,2015-06-10 07:35:02,637,2.05
1,moist,2015-06-10 07:45:02,357,1.15
2,moist,2015-06-10 07:45:02,636,2.05
1,moist,2015-06-10 07:55:02,345,1.11
2,moist,2015-06-10 07:55:02,634,2.05
1,moist,2015-06-10 08:05:02,345,1.11
2,moist,2015-06-10 08:05:02,632,2.04
1,moist,2015-06-10 08:15:02,344,1.11
2,moist,2015-06-10 08:15:02,630,2.03
1,moist,2015-06-10 08:25:02,344,1.11
2,moist,2015-06-10 08:25:02,629,2.03
1,moist,2015-06-10 08:35:02,340,1.1
2,moist,2015-06-10 08:35:02,628,2.03
